OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
313892,Developmental and speech delay due to SOX5 deficiency,"Infancy, Neonatal","Autosomal dominant, Not applicable",2,1
313884,12p12.1 microdeletion syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable",2,1
313855,FGFR2-related bent bone dysplasia,"Antenatal, Neonatal",Autosomal dominant,3,1
313850,Infantile cerebellar-retinal degeneration,"Infancy, Neonatal",Autosomal recessive,1,2
313846,Familial cutaneous telangiectasia and oropharyngeal cancer predisposition syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
313838,Coats plus syndrome,Childhood,Autosomal recessive,2,7
313800,Retinal dystrophy-optic nerve edema-splenomegaly-anhidrosis-migraine headache syndrome,Childhood,Autosomal dominant,2,7
313808,Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia,Adult,Autosomal dominant,3,13
313781,20p13 microdeletion syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable",2,1
313795,Jawad syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
